X;Y;Formation affleurante;TOPO;Toit_LATE;Epaisseur_LATE;Base_LATE;Toit_ASUP;Epaisseur_ASUP;Base_ASUP;Toit_CARB;Epaisseur_CARB;Base_CARB;Toit_AINF
2252426,25;324591,25;Laterites;48,7086257935;48,7086257935;1,4221954346;47,2864303589;47,2864303589;11,3780975342;35,9083328247;35,9083328247;2,9456558228;32,962677002;32,962677002
2252428,75;324591,25;Laterites;48,5216522217;48,5216522217;1,2848091125;47,2368431091;47,2368431091;11,1274795532;36,1093635559;36,1093635559;3,2604522705;32,8489112854;32,8489112854
2252431,25;324591,25;Laterites;48,3435401917;48,3435401917;1,1479454041;47,1955947876;47,1955947876;10,8784179688;36,3171768188;36,3171768188;3,5792770386;32,7378997803;32,7378997803
2252433,75;324591,25;Laterites;48,1782112122;48,1782112122;1,0161399841;47,162071228;47,162071228;10,6315727234;36,5304985046;36,5304985046;3,9014167786;32,6290817261;32,6290817261
2252436,25;324591,25;Laterites;48,0195236206;48,0195236206;0,8849258423;47,1345977783;47,1345977783;10,3877067566;36,7468910217;36,7468910217;4,2258911133;32,5209999084;32,5209999084
2252438,75;324591,25;Laterites;47,8711242676;47,8711242676;0,7619361877;47,1091880798;47,1091880798;10,1479759216;36,9612121582;36,9612121582;4,5510253906;32,4101867676;32,4101867676
2252441,25;324591,25;Laterites;47,7208099365;47,7208099365;0,6454811096;47,0753288269;47,0753288269;9,9137382507;37,1615905762;37,1615905762;4,8733940125;32,2881965637;32,2881965637
2252443,75;324591,25;Laterites;47,5936660767;47,5936660767;0,5812034607;47,012462616;47,012462616;9,6904792786;37,3219833374;37,3219833374;5,1858253479;32,1361579895;32,1361579895
2252446,25;324591,25;Laterites;47,475112915;47,475112915;0,5809402466;46,8941726685;46,8941726685;9,4821166992;37,4120559692;37,4120559692;5,4800357819;31,9320201874;31,9320201874
2252448,75;324591,25;Laterites;47,3642807007;47,3642807007;0,6356697083;46,7286109924;46,7286109924;9,2876739502;37,4409370422;37,4409370422;5,7582168579;31,6827201843;31,6827201843
2252451,25;324591,25;Laterites;47,2681770325;47,2681770325;0,724773407;46,5434036255;46,5434036255;9,1027450562;37,4406585693;37,4406585693;6,0286884308;31,4119701385;31,4119701385
2252453,75;324591,25;Laterites;47,1824913025;47,1824913025;0,8277015686;46,3547897339;46,3547897339;8,9249343872;37,4298553467;37,4298553467;6,2961750031;31,1336803436;31,1336803436
2252456,25;324591,25;Laterites;47,1030960083;47,1030960083;0,9336395264;46,1694564819;46,1694564819;8,7533569336;37,4160995483;37,4160995483;6,5624980927;30,8536014557;30,8536014557
2252458,75;324591,25;Laterites;47,0364761353;47,0364761353;1,0462875366;45,9901885986;45,9901885986;8,5878295898;37,4023590088;37,4023590088;6,828245163;30,5741138458;30,5741138458
2252461,25;324591,25;Laterites;46,9688110352;46,9688110352;1,1521568298;45,8166542053;45,8166542053;8,4268569946;37,3897972107;37,3897972107;7,0935020447;30,296295166;30,296295166
2252463,75;324591,25;Laterites;46,9052009583;46,9052009583;1,2527198792;45,6524810791;45,6524810791;8,2736625671;37,378818512;37,378818512;7,3581447601;30,0206737518;30,0206737518
2252466,25;324591,25;Laterites;46,8419380188;46,8419380188;1,3454208374;45,4965171814;45,4965171814;8,1269760132;37,3695411682;37,3695411682;7,6219291687;29,7476119995;29,7476119995
2252468,75;324591,25;Laterites;46,7831840515;46,7831840515;1,43409729;45,3490867615;45,3490867615;7,9871025085;37,3619842529;37,3619842529;7,8845233917;29,4774608612;29,4774608612
2252471,25;324591,25;Laterites;46,7148284912;46,7148284912;1,5027160645;45,2121124268;45,2121124268;7,8558883667;37,3562240601;37,3562240601;8,1455402374;29,2106838226;29,2106838226
2252473,75;324591,25;Laterites;46,657787323;46,657787323;1,5774803162;45,0803070068;45,0803070068;7,7277755737;37,3525314331;37,3525314331;8,4045448303;28,9479866028;28,9479866028
2252476,25;324591,25;Laterites;46,6073265076;46,6073265076;1,6416664124;44,9656600952;44,9656600952;7,6155776978;37,3500823975;37,3500823975;8,5508785248;28,7992038727;28,7992038727
2252478,75;324591,25;Laterites;46,5583610535;46,5583610535;1,6982078552;44,8601531982;44,8601531982;7,5078964233;37,3522567749;37,3522567749;8,7899875641;28,5622692108;28,5622692108
2252481,25;324591,25;Laterites;46,4307441711;46,4307441711;1,6616477966;44,7690963745;44,7690963745;7,409778595;37,3593177795;37,3593177795;9,0224838257;28,3368339539;28,3368339539
2252483,75;324591,25;Laterites;46,2507514954;46,2507514954;1,5545425415;44,6962089539;44,6962089539;7,3228721619;37,373336792;37,373336792;9,2466850281;28,1266517639;28,1266517639
2252486,25;324591,25;Laterites;46,0717697144;46,0717697144;1,4258918762;44,6458778381;44,6458778381;7,2487792969;37,3970985413;37,3970985413;9,460565567;27,9365329742;27,9365329742
2252488,75;324591,25;Laterites;45,8923683167;45,8923683167;1,2701911926;44,622177124;44,622177124;7,1882324219;37,4339447021;37,4339447021;9,6618251801;27,7721195221;27,7721195221
2252491,25;324591,25;Laterites;45,7150878906;45,7150878906;1,0813789368;44,6337089539;44,6337089539;7,1464538574;37,4872550964;37,4872550964;9,8481750488;27,6390800476;27,6390800476
2252493,75;324591,25;Laterites;45,5363922119;45,5363922119;0,8592910767;44,6771011353;44,6771011353;7,1175956726;37,5595054626;37,5595054626;10,0179080963;27,5415973663;27,5415973663
2252496,25;324591,25;Laterites;45,3567695618;45,3567695618;0,5999145508;44,756855011;44,756855011;7,1055183411;37,6513366699;37,6513366699;10,1704330444;27,4809036255;27,4809036255
2252498,75;324591,25;Laterites;45,1769447327;45,1769447327;0,3143882751;44,8625564575;44,8625564575;7,101398468;37,7611579895;37,7611579895;10,3065242767;27,4546337128;27,4546337128
2252501,25;324591,25;Laterites;44,9927940369;44,9927940369;0,0228004456;44,9699935913;44,9699935913;7,0843315125;37,8856620789;37,8856620789;10,4279460907;27,4577159882;27,4577159882
2252503,75;324591,25;Argiles superieures;44,7973442078;;;;44,7973442078;6,730381012;38,0669631958;38,0669631958;10,4281616211;27,6388015747;27,6388015747
2252506,25;324591,25;Argiles superieures;44,6093521118;;;;44,6093521118;6,3941040039;38,2152481079;38,2152481079;10,5123710632;27,7028770447;27,7028770447
2252508,75;324591,25;Argiles superieures;44,42212677;;;;44,42212677;6,0545196533;38,3676071167;38,3676071167;10,5872344971;27,7803726196;27,7803726196
2252511,25;324591,25;Argiles superieures;44,228767395;;;;44,228767395;6,3848876953;37,8438796997;37,8438796997;10,1237106323;27,7201690674;27,7201690674
2252513,75;324591,25;Argiles superieures;44,0351486206;;;;44,0351486206;2,4056587219;41,6294898987;41,6294898987;16,0059585571;25,6235313416;25,6235313416
2252516,25;324591,25;Carbonates;43,8325271606;;;;;;;43,8325271606;17,5503463745;26,2821807861;26,2821807861
2252518,75;324591,25;Carbonates;43,6473388672;;;;;;;43,6473388672;17,4401226044;26,2072162628;26,2072162628
2252521,25;324591,25;Carbonates;43,4479141235;;;;;;;43,4479141235;17,4204177856;26,0274963379;26,0274963379
2252523,75;324591,25;Carbonates;43,254825592;;;;;;;43,254825592;17,4024276733;25,8523979187;25,8523979187
2252526,25;324591,25;Carbonates;43,0695037842;;;;;;;43,0695037842;17,3867950439;25,6827087402;25,6827087402
2252528,75;324591,25;Carbonates;42,9016532898;;;;;;;42,9016532898;17,3823394775;25,5193138123;25,5193138123
2252531,25;324591,25;Carbonates;42,7567558289;;;;;;;42,7567558289;17,3935642242;25,3631916046;25,3631916046
2252533,75;324591,25;Carbonates;42,6329116821;;;;;;;42,6329116821;17,4175567627;25,2153549194;25,2153549194
2252536,25;324591,25;Carbonates;42,5235443115;;;;;;;42,5235443115;17,4467334747;25,0768108368;25,0768108368
2252538,75;324591,25;Carbonates;42,4223670959;;;;;;;42,4223670959;17,4739322662;24,9484348297;24,9484348297
2252541,25;324591,25;Carbonates;42,3204231262;;;;;;;42,3204231262;18,6204242706;23,6999988556;23,6999988556
2252543,75;324591,25;Carbonates;42,2114143372;;;;;;;42,2114143372;18,5114154816;23,6999988556;23,6999988556
2252546,25;324591,25;Carbonates;42,1185913086;;;;;;;42,1185913086;18,418592453;23,6999988556;23,6999988556
2252548,75;324591,25;Carbonates;42,0196609497;;;;;;;42,0196609497;18,3196620941;23,6999988556;23,6999988556
2252551,25;324591,25;Carbonates;41,919052124;;;;;;;41,919052124;18,2190532684;23,6999988556;23,6999988556
2252553,75;324591,25;Carbonates;41,8183135986;;;;;;;41,8183135986;18,118314743;23,6999988556;23,6999988556
2252556,25;324591,25;Carbonates;41,7179641724;;;;;;;41,7179641724;18,0179653168;23,6999988556;23,6999988556
2252558,75;324591,25;Carbonates;41,6118583679;;;;;;;41,6118583679;17,9118595123;23,6999988556;23,6999988556
2252561,25;324591,25;Carbonates;41,512802124;;;;;;;41,512802124;17,8128032684;23,6999988556;23,6999988556
2252563,75;324591,25;Carbonates;41,4180335999;;;;;;;41,4180335999;17,7180347443;23,6999988556;23,6999988556
2252566,25;324591,25;Carbonates;41,3297653198;;;;;;;41,3297653198;17,6297664642;23,6999988556;23,6999988556
2252568,75;324591,25;Carbonates;41,2574081421;;;;;;;41,2574081421;17,5574092865;23,6999988556;23,6999988556
2252571,25;324591,25;Carbonates;41,2161903381;;;;;;;41,2161903381;17,5161914825;23,6999988556;23,6999988556
2252573,75;324591,25;Carbonates;41,1919631958;;;;;;;41,1919631958;17,4919643402;23,6999988556;23,6999988556
2252576,25;324591,25;Carbonates;41,1793518066;;;;;;;41,1793518066;17,479352951;23,6999988556;23,6999988556
2252578,75;324591,25;Carbonates;41,1723403931;;;;;;;41,1723403931;17,4723415375;23,6999988556;23,6999988556
2252581,25;324591,25;Carbonates;41,1536254883;;;;;;;41,1536254883;17,4536266327;23,6999988556;23,6999988556
2252583,75;324591,25;Carbonates;41,1499710083;;;;;;;41,1499710083;17,4499721527;23,6999988556;23,6999988556
2252586,25;324591,25;Carbonates;41,1510429382;;;;;;;41,1510429382;17,4510440826;23,6999988556;23,6999988556
2252363,75;324593,75;Laterites;53,3965797424;53,3965797424;3,7198600769;49,6767196655;49,6767196655;14,3188056946;35,3579139709;;;;35,3579139709
2252366,25;324593,75;Laterites;53,2894744873;53,2894744873;3,6978530884;49,5916213989;49,5916213989;14,2630996704;35,3285217285;;;;35,3285217285
2252368,75;324593,75;Laterites;53,1475715637;53,1475715637;3,6447677612;49,5028038025;49,5028038025;14,2092094421;35,2935943604;;;;35,2935943604
2252371,25;324593,75;Laterites;53,0302009583;53,0302009583;3,6199874878;49,4102134705;49,4102134705;14,1575965881;35,2526168823;;;;35,2526168823
2252373,75;324593,75;Laterites;52,8934173584;52,8934173584;3,5795669556;49,3138504028;49,3138504028;14,1087417603;35,2051086426;;;;35,2051086426
2252376,25;324593,75;Laterites;52,7482185364;52,7482185364;3,5344390869;49,2137794495;49,2137794495;14,063129425;35,1506500244;;;;35,1506500244
2252378,75;324593,75;Laterites;52,5921401978;52,5921401978;3,4820709229;49,1100692749;49,1100692749;14,0211830139;35,088886261;;;;35,088886261
2252381,25;324593,75;Laterites;52,4344329834;52,4344329834;3,4314994812;49,0029335022;49,0029335022;13,9833488464;35,0195846558;;;;35,0195846558
2252383,75;324593,75;Laterites;52,2687301636;52,2687301636;3,3761062622;48,8926239014;48,8926239014;13,9499931335;34,9426307678;;;;34,9426307678
2252386,25;324593,75;Laterites;52,0939025879;52,0939025879;3,2897987366;48,8041038513;48,8041038513;13,9460487366;34,8580551147;;;;34,8580551147
2252388,75;324593,75;Laterites;51,9098815918;51,9098815918;3,2224273682;48,6874542236;48,6874542236;13,921421051;34,7660331726;;;;34,7660331726
2252391,25;324593,75;Laterites;51,7188796997;51,7188796997;3,1499176025;48,5689620972;48,5689620972;13,9020690918;34,6668930054;;;;34,6668930054
2252393,75;324593,75;Laterites;51,5159225464;51,5159225464;3,0667190552;48,4492034912;48,4492034912;13,8880729675;34,5611305237;;;;34,5611305237
2252396,25;324593,75;Laterites;51,3071784973;51,3071784973;2,9782752991;48,3289031982;48,3289031982;13,8795585632;34,449344635;;;;34,449344635
2252398,75;324593,75;Laterites;51,0921516418;51,0921516418;2,8833503723;48,2088012695;48,2088012695;13,8765258789;34,3322753906;;;;34,3322753906
2252401,25;324593,75;Laterites;50,8706932068;50,8706932068;2,7809638977;48,0897293091;48,0897293091;13,8789863586;34,2107429504;;;;34,2107429504
2252403,75;324593,75;Laterites;50,6445541382;50,6445541382;2,672000885;47,9725532532;47,9725532532;13,6619796753;34,3105735779;34,3105735779;0,224937439;34,0856361389;34,0856361389
2252406,25;324593,75;Laterites;50,4159545898;50,4159545898;2,5589866638;47,856967926;47,856967926;13,416053772;34,4409141541;34,4409141541;0,483039856;33,9578742981;33,9578742981
2252408,75;324593,75;Laterites;50,1836509705;50,1836509705;2,4372711182;47,7463798523;47,7463798523;13,1674880981;34,5788917542;34,5788917542;0,7504997253;33,8283920288;33,8283920288
2252411,25;324593,75;Laterites;49,9608421326;49,9608421326;2,3204307556;47,640411377;47,640411377;12,9156227112;34,7247886658;34,7247886658;1,0266532898;33,698135376;33,698135376
2252413,75;324593,75;Laterites;49,7089271545;49,7089271545;2,1689300537;47,5399971008;47,5399971008;12,6611213684;34,8788757324;34,8788757324;1,3108863831;33,5679893494;33,5679893494
2252416,25;324593,75;Laterites;49,4811782837;49,4811782837;2,0351753235;47,4460029602;47,4460029602;12,4046020508;35,0414009094;35,0414009094;1,6025924683;33,4388084412;33,4388084412
2252418,75;324593,75;Laterites;49,2514915466;49,2514915466;1,8922424316;47,359249115;47,359249115;12,1466522217;35,2125968933;35,2125968933;1,9012107849;33,3113861084;33,3113861084
2252421,25;324593,75;Laterites;49,0417976379;49,0417976379;1,7612457275;47,2805519104;47,2805519104;11,887928009;35,3926239014;35,3926239014;2,2061691284;33,1864547729;33,1864547729
2252423,75;324593,75;Laterites;48,8322257996;48,8322257996;1,6216239929;47,2106018066;47,2106018066;11,6290016174;35,5816001892;35,5816001892;2,5169677734;33,0646324158;33,0646324158
2252426,25;324593,75;Laterites;48,6306991577;48,6306991577;1,4806480408;47,1500511169;47,1500511169;11,3704910278;35,7795600891;35,7795600891;2,8331031799;32,9464569092;32,9464569092
2252428,75;324593,75;Laterites;48,438079834;48,438079834;1,3387298584;47,0993499756;47,0993499756;11,1128959656;35,98645401;35,98645401;3,1541099548;32,8323440552;32,8323440552
2252431,25;324593,75;Laterites;48,2580337524;48,2580337524;1,1991500854;47,058883667;47,058883667;10,856803894;36,2020797729;36,2020797729;3,4795074463;32,7225723267;32,7225723267
2252433,75;324593,75;Laterites;48,08543396;48,08543396;1,0566635132;47,0287704468;47,0287704468;10,6027145386;36,4260559082;36,4260559082;3,8088378906;32,6172180176;32,6172180176
2252436,25;324593,75;Laterites;47,9236602783;47,9236602783;0,9148979187;47,0087623596;47,0087623596;10,3512115479;36,6575508118;36,6575508118;4,1415367126;32,5160140991;32,5160140991
2252438,75;324593,75;Laterites;47,7724380493;47,7724380493;0,7748146057;46,9976234436;46,9976234436;10,1029319763;36,8946914673;36,8946914673;4,4768066406;32,4178848267;32,4178848267
2252441,25;324593,75;Laterites;47,6233139038;47,6233139038;0,6326026917;46,9907112122;46,9907112122;9,8591117859;37,1315994263;37,1315994263;4,8128204346;32,3187789917;32,3187789917
2252443,75;324593,75;Laterites;47,4961776733;47,4961776733;0,5334815979;46,9626960754;46,9626960754;9,624080658;37,3386154175;37,3386154175;5,141456604;32,1971588135;32,1971588135
2252446,25;324593,75;Laterites;47,3762550354;47,3762550354;0,5454063416;46,8308486938;46,8308486938;9,4127426147;37,4181060791;37,4181060791;5,4365997314;31,9815063477;31,9815063477
2252448,75;324593,75;Laterites;47,2709655762;47,2709655762;0,6413612366;46,6296043396;46,6296043396;9,2192649841;37,4103393555;37,4103393555;5,7087211609;31,7016181946;31,7016181946
2252451,25;324593,75;Laterites;47,1856842041;47,1856842041;0,7633552551;46,422328949;46,422328949;9,0332679749;37,3890609741;37,3890609741;5,9772262573;31,4118347168;31,4118347168
2252453,75;324593,75;Laterites;47,0988311768;47,0988311768;0,8778877258;46,2209434509;46,2209434509;8,8530311584;37,3679122925;37,3679122925;6,2455482483;31,1223640442;31,1223640442
2252456,25;324593,75;Laterites;47,0289726257;47,0289726257;1,0011482239;46,0278244019;46,0278244019;8,6783866882;37,3494377136;37,3494377136;6,5142059326;30,835231781;30,835231781
2252458,75;324593,75;Laterites;46,9615440369;46,9615440369;1,1180305481;45,8435134888;45,8435134888;8,5094833374;37,3340301514;37,3340301514;6,7831439972;30,5508861542;30,5508861542
2252461,25;324593,75;Laterites;46,8999176025;46,8999176025;1,2318878174;45,6680297852;45,6680297852;8,3465805054;37,3214492798;37,3214492798;7,0521087646;30,2693405151;30,2693405151
2252463,75;324593,75;Laterites;46,8420677185;46,8420677185;1,3409385681;45,5011291504;45,5011291504;8,18983078;37,3112983704;37,3112983704;7,32081604;29,9904823303;29,9904823303
2252466,25;324593,75;Laterites;46,7843360901;46,7843360901;1,4415397644;45,3427963257;45,3427963257;8,0396575928;37,3031387329;37,3031387329;7,58893013;29,7142086029;29,7142086029
2252468,75;324593,75;Laterites;46,7292633057;46,7292633057;1,5363540649;45,1929092407;45,1929092407;7,8963241577;37,296585083;37,296585083;7,8560810089;29,4405040741;29,4405040741
2252471,25;324593,75;Laterites;46,673122406;46,673122406;1,6215591431;45,0515632629;45,0515632629;7,7601737976;37,2913894653;37,2913894653;8,1218795776;29,1695098877;29,1695098877
2252473,75;324593,75;Laterites;46,6139640808;46,6139640808;1,6947059631;44,9192581177;44,9192581177;7,6317367554;37,2875213623;37,2875213623;8,3858757019;28,9016456604;28,9016456604
2252476,25;324593,75;Laterites;46,5592155457;46,5592155457;1,7648696899;44,7943458557;44,7943458557;7,5091285706;37,2852172852;37,2852172852;8,6475257874;28,6376914978;28,6376914978
2252478,75;324593,75;Laterites;46,4905052185;46,4905052185;1,80418396;44,6863212585;44,6863212585;7,4011154175;37,2852058411;37,2852058411;8,9061889648;28,3790168762;28,3790168762
2252481,25;324593,75;Laterites;46,3733406067;46,3733406067;1,7851638794;44,5881767273;44,5881767273;7,300579071;37,2875976563;37,2875976563;9,0568580627;28,2307395935;28,2307395935
2252483,75;324593,75;Laterites;46,2176094055;46,2176094055;1,710609436;44,5069999695;44,5069999695;7,2100944519;37,2969055176;37,2969055176;9,2897434235;28,0071620941;28,0071620941
2252486,25;324593,75;Laterites;46,0505065918;46,0505065918;1,6024360657;44,4480705261;44,4480705261;7,1326408386;37,3154296875;37,3154296875;9,5122814178;27,8031482697;27,8031482697
2252488,75;324593,75;Laterites;45,8798408508;45,8798408508;1,4611625671;44,4186782837;44,4186782837;7,0709342957;37,347743988;37,347743988;9,7214164734;27,6263275146;27,6263275146
2252491,25;324593,75;Laterites;45,7081947327;45,7081947327;1,2801055908;44,4280891418;44,4280891418;7,0289993286;37,3990898132;37,3990898132;9,9137840271;27,4853057861;27,4853057861
2252493,75;324593,75;Laterites;45,5367927551;45,5367927551;1,0574417114;44,4793510437;44,4793510437;7,0055770874;37,4737739563;37,4737739563;10,0865898132;27,3871841431;27,3871841431
2252496,25;324593,75;Laterites;45,3625488281;45,3625488281;0,786491394;44,5760574341;44,5760574341;7,0029602051;37,573097229;37,573097229;10,2388629913;27,3342342377;27,3342342377
2252498,75;324593,75;Laterites;45,1862716675;45,1862716675;0,4779396057;44,7083320618;44,7083320618;7,0138549805;37,6944770813;37,6944770813;10,3719482422;27,3225288391;27,3225288391
2252501,25;324593,75;Laterites;45,0074806213;45,0074806213;0,1443099976;44,8631706238;44,8631706238;7,0304756165;37,8326950073;37,8326950073;10,4887733459;27,3439216614;27,3439216614
2252503,75;324593,75;Argiles superieures;44,8174743652;;;;44,8174743652;6,8354949951;37,9819793701;37,9819793701;10,5926055908;27,3893737793;27,3893737793
2252506,25;324593,75;Argiles superieures;44,6321296692;;;;44,6321296692;6,4464569092;38,18567276;38,18567276;10,5724315643;27,6132411957;27,6132411957
2252508,75;324593,75;Argiles superieures;44,4462471008;;;;44,4462471008;6,0960845947;38,3501625061;38,3501625061;10,6423912048;27,7077713013;27,7077713013
2252511,25;324593,75;Argiles superieures;44,2536582947;;;;44,2536582947;5,7389297485;38,5147285461;38,5147285461;10,7050762177;27,8096523285;27,8096523285
2252513,75;324593,75;Argiles superieures;44,0616645813;;;;44,0616645813;6,2156829834;37,8459815979;37,8459815979;10,2358989716;27,6100826263;27,6100826263
2252516,25;324593,75;Carbonates;43,8663139343;;;;;;;43,8663139343;20,1663150787;23,6999988556;23,6999988556
2252518,75;324593,75;Carbonates;43,6625900269;;;;;;;43,6625900269;19,9625911713;23,6999988556;23,6999988556
2252521,25;324593,75;Carbonates;43,4566993713;;;;;;;43,4566993713;19,7567005157;23,6999988556;23,6999988556
2252523,75;324593,75;Carbonates;43,252746582;;;;;;;43,252746582;19,5527477264;23,6999988556;23,6999988556
2252526,25;324593,75;Carbonates;43,0540313721;;;;;;;43,0540313721;19,3540325165;23,6999988556;23,6999988556
2252528,75;324593,75;Carbonates;42,877696991;;;;;;;42,877696991;19,1776981354;23,6999988556;23,6999988556
2252531,25;324593,75;Carbonates;42,7382888794;;;;;;;42,7382888794;19,0382900238;23,6999988556;23,6999988556
2252533,75;324593,75;Carbonates;42,6276931763;;;;;;;42,6276931763;18,9276943207;23,6999988556;23,6999988556
2252536,25;324593,75;Carbonates;42,5261993408;;;;;;;42,5261993408;18,8262004852;23,6999988556;23,6999988556
2252538,75;324593,75;Carbonates;42,431388855;;;;;;;42,431388855;18,7313899994;23,6999988556;23,6999988556
2252541,25;324593,75;Carbonates;42,3278770447;;;;;;;42,3278770447;18,6278781891;23,6999988556;23,6999988556
2252543,75;324593,75;Carbonates;42,2278137207;;;;;;;42,2278137207;18,5278148651;23,6999988556;23,6999988556
2252546,25;324593,75;Carbonates;42,135635376;;;;;;;42,135635376;18,4356365204;23,6999988556;23,6999988556
2252548,75;324593,75;Carbonates;42,0367393494;;;;;;;42,0367393494;18,3367404938;23,6999988556;23,6999988556
2252551,25;324593,75;Carbonates;41,9356307983;;;;;;;41,9356307983;18,2356319427;23,6999988556;23,6999988556
2252553,75;324593,75;Carbonates;41,8337287903;;;;;;;41,8337287903;18,1337299347;23,6999988556;23,6999988556
2252556,25;324593,75;Carbonates;41,7269248962;;;;;;;41,7269248962;18,0269260406;23,6999988556;23,6999988556
2252558,75;324593,75;Carbonates;41,6240577698;;;;;;;41,6240577698;17,9240589142;23,6999988556;23,6999988556
2252561,25;324593,75;Carbonates;41,5222892761;;;;;;;41,5222892761;17,8222904205;23,6999988556;23,6999988556
2252563,75;324593,75;Carbonates;41,4195480347;;;;;;;41,4195480347;17,7195491791;23,6999988556;23,6999988556
2252566,25;324593,75;Carbonates;41,3210716248;;;;;;;41,3210716248;17,6210727692;23,6999988556;23,6999988556
2252568,75;324593,75;Carbonates;41,2344360352;;;;;;;41,2344360352;17,5344371796;23,6999988556;23,6999988556
2252571,25;324593,75;Carbonates;41,1909599304;;;;;;;41,1909599304;17,4909610748;23,6999988556;23,6999988556
2252573,75;324593,75;Carbonates;41,1831054688;;;;;;;41,1831054688;17,4831066132;23,6999988556;23,6999988556
2252576,25;324593,75;Carbonates;41,1776580811;;;;;;;41,1776580811;17,4776592255;23,6999988556;23,6999988556
2252578,75;324593,75;Carbonates;41,164226532;;;;;;;41,164226532;17,4642276764;23,6999988556;23,6999988556
2252581,25;324593,75;Carbonates;41,1604537964;;;;;;;41,1604537964;17,4604549408;23,6999988556;23,6999988556
